ID,ResponseId,age,child_age,sex,n_children,child_gender,residence,LocationLatitude,LocationLongitude,EER_text,ERQ_1,ERQ_2,ERQ_3,ERQ_4,ERQ_5,ERQ_6,ERQ_7,ERQ_8,ERQ_9,ERQ_10,RRS_1,RRS_2,RRS_3,RRS_4,RRS_5,ERQ_mean,RRS_mean
44130,R_1Nqyg3X3B84I3vq,41,3.0,2,2.0,1.0,הוד השרון,32.0803,34.7805,"זה קורה, הורים צועקים עלך הילדים, הוא לא ישנא אותך בגלל זה, הוא לא יחשוב שאת אמא גרועה כי צעקת עליו. את עייפה, את נקרעת בינו לבין תינוקת. זה בסדר.",6.0,2.0,6.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,3.9,3.8
41781,R_4HmjVBqQBbsX2rD,40,11.0,2,2.0,2.0,חיפה,32.0803,34.7805,"הלוואי שננצח החוואי וכולם יחזרו שלמים ובריאים שהחיילים שלנו יחזרו שלמים ובריאים
שלא נפחד ללכת ברחוב בלילה או ביום",7.0,4.0,7.0,5.0,4.0,4.0,7.0,7.0,5.0,7.0,3.0,2.0,2.0,2.0,2.0,5.7,2.2
42575,R_1jANuCKrn5QL3yb,49,11.0,2,2.0,2.0,נאות מרדכי,33.1642,35.5975,"היי אמא,
הפחד של הילדות שלך טבעי ותקין ולגיטימי
ונפלא שהן מצליחות לדבר את הרגשות שלהן ולשתף אותך
ונפלא שאת יודעת איך לעטוף, לחבק, להסביר ולתת חזרה תחושת ביטחון",6.0,4.0,6.0,4.0,6.0,1.0,6.0,6.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,4.6,1.6
61868,R_2ZU43WIx08Hxaye,48,12.0,2,3.0,2.0,נהרייה,32.1693,34.882,אחרי שעברת כילדה את לבנון הראשונה וכאמא צעירה את לבנון השניה כעת את יכולה לדעת שיש בך את החוסן לעבור גם את התקופה הזו,5.0,6.0,5.0,4.0,5.0,6.0,5.0,5.0,7.0,5.0,2.0,2.0,3.0,2.0,2.0,5.3,2.2
38841,R_2zSlZkvruOcWyg6,33,5.0,2,2.0,1.0,תל אביב,32.0803,34.7805,"עברת בעצמך טראומה וזעזוע של כל מה שמוכר, טבעי שהרגשת ככה ושלא יכולת להיות האמא הסבלנית ומכילה שהיית רוצה להיות. עשית את ההכי טוב שיכולת",4.0,5.0,4.0,2.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.9,2.8
36988,R_x6fjjQzQhvMtyal,24,1.0,2,1.0,1.0,ראשון לציון,31.9642,34.7876,"הייתי רוצה לרשום לעצמי לזכור תמיד להודות על הקיים, גם כשיש קושי, שום דבר לא מובן מאליו והחיים כל כך לא צפויים כך שצריך להנות ולהעריך את כל הרגעים הקטנים של הביחד. ",4.0,1.0,3.0,5.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.5,2.2
0508531853,R_bIAhQ8RI31uhD7X,41,13.0,2,3.0,1.0,לא עברתי,32.0803,34.7805,"שאשתד מאוד לשמור על עצמי
ולחזור הביתה לבת שלי שהמחשבות שלה שאמות",7.0,4.0,7.0,4.0,7.0,4.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,5.1,2.8
54023,R_3EG1WQGuwRVJUxs,43,16.0,1,4.0,2.0,ירושלים,32.0821,34.8122,כאבא היה אפשר להרגיע את הילדה והילדים שאני שולט במצב ושלא יפחדו מזה,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,3.0,4.0,3.0,5.1,3.0
21364,R_ukAjOtX2mpWhVtv,44,8.0,2,3.0,2.0,אבן יהודה,32.1033,34.8879,"אני שמחה שאני אמא נוכחת, שהעבודה שלי מאפשרת לי להיות עם הילדים שלי הרבה.
שהבת שלי מרגישה בנוח ופתוחה לגבי הרגשות ותחושות והשאלות וזה נותן לי הזדמנות להרגיע, לדבר על המצב, להיות עוגן בשבילה.",6.0,2.0,6.0,2.0,6.0,2.0,6.0,6.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,4.3,1.4
28253,R_XC8WLRVeS0YQhQ5,33,6.0,2,2.0,2.0,יקנעם עילית,32.1033,34.8879,"הכל הסתיים בסדר, אין לי שליטה על הכל. אני עושה את הכי טוב שאני יכולה עבור הבנות שלי.",6.0,4.0,5.0,2.0,4.0,2.0,5.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.8,2.0
09933,R_2dFkYpi3HG2rewx,43,11.0,1,2.0,1.0,באר יעקב,32.0803,34.7805,"התקופה הזאת של הריחוק מחיי החברה ומסגרת של בית הספר והחברים יוצרת קשיים חברתיים ושל קשרים בינאישיים
ובעיות התנהגות כמו התגובה למצב של ירח טילים וחשש
דבר שיכול לגרום לקשיים בהתבטאות ותגובות של כעס וחוסר סבלנות
לאט לאט אם החזרה לבית הספר והרגעת קולות המלחמה המצב ישתפר עם תמיכה שלנו ההורים",5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,1.0,3.0,4.8,2.0
75603,R_1mt7QzeA8jrWhG5,44,10.0,2,3.0,2.0,גבעתיים,32.0803,34.7805,"את יכולה להיות קצת יותר סלחנית כלפי עצמך. את היית מפוחדת, סך הכל יום אחרי האירוע המחריד שקרה. ",4.0,2.0,4.0,1.0,3.0,1.0,5.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,1.6
45060,R_12u3ms3Op6BR7cs,39,7.0,1,2.0,1.0,תל אביב,32.0803,34.7805,אין כל כך מה להוסיף,5.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,4.4,2.4
93557,R_30xenbhbievKNH7,51,11.0,2,4.0,2.0,נתניה,32.0717,34.8153,אני דואגת לילדים שלי ושומרת על בטחונם.,7.0,4.0,7.0,1.0,6.0,1.0,5.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,4.1,1.2
08921,R_3stwyTMugY0Z4FK,31,6.0,2,1.0,1.0,עין גב,32.7202,35.3997,"זה בסדר לפחד גם כשאת בתפקיד ההורה. זה בסדר להגיד לילד שהוא במקום מוגן ושמור ושלא יקרה לו כלום גם אם בלב את יודעת שזה לא תמיד יהיה בשליטתך. התקופה הזו בסוף בסוף תיגמר ולמרות שכרגע לא ניתן לראות או להגיש, עוד תהיה שיגרה ועוד תחזור השלווה. עוד נחזור לצחוק ולשמוח. יום יבוא ויהיה פה שוב טוב.",5.0,2.0,2.0,2.0,5.0,2.0,6.0,4.0,2.0,5.0,1.0,2.0,3.0,2.0,2.0,3.5,2.0
72999,R_esV2q7D7aG3itvH,55,15.0,2,5.0,2.0,קיבוץ אפיקים,32.6757,35.5746,"תנשמי ותירגעי.
לא הכול תלוי בך , את עושה את המקסימום שאת יכולה.",3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,2.3,2.4
85553,R_UKfNfXXD7pZMIi5,36,6.0,1,3.0,1.0,פתח תקוה,32.0803,34.7805,"יסמין אמרה את זה נכון, יהיה טוב",5.0,6.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,2.0,2.0,5.1,2.0
41022,R_ZfVybnXKitnzOiB,43,10.0,2,3.0,1.0,ראשון לציון,53.4113,-2.9759,יהיה טוב כי אין לנו ארץ אחרת!,6.0,3.0,6.0,4.0,5.0,2.0,5.0,5.0,2.0,5.0,1.0,2.0,3.0,2.0,2.0,4.3,2.0
61651,R_2xDwDNScJ4ZRhGh,45,15.0,2,3.0,2.0,רמת גן,32.0803,34.7805,האירוע לא קרה באשמתי ולא יכולתי לצפות אותו. עשינו את המקסימום שהילדים ישארו מוגנים אצל המשפחה. חזרנו הביתה ברגע שמצאנו טיסה...,4.0,6.0,4.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.1,2.0
95939,R_2UcjpUrQnPIDIPZ,33,4.0,2,2.0,1.0,חדרה,32.0803,34.7805,עשית את הכי טוב שיכולת,4.0,3.0,2.0,1.0,5.0,1.0,4.0,4.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,2.9,2.0
39953,R_1f77l80jIpjBCfG,40,5.0,2,3.0,1.0,חיפה ,32.0803,34.7805,"זה ממש בסדר, זו תקופה נוראית, ההתחלה שלה היתה מאוד חרדתית עבורי וההתעדכנות הבלתי פוסקת אפשרה לי להרגיש קצת יותר בשליטה, וכמובן שזו אשליה. שיפרתי וצמצמתי משמעותית את זמן המסך שלי לידם מאז",3.0,2.0,3.0,2.0,5.0,1.0,5.0,5.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,3.3,2.4
34470,R_zdjLKArOwszJEiZ,44,4.0,2,3.0,2.0,קיבוץ גבים,32.6504,35.2808,הי. בעוג כמה שנים. נזכר בכל זה ונדע שהתגברנו על זה. יהיה בסדר בסןף,1.0,6.0,4.0,1.0,1.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.4,3.8
47570,R_1dfVWq9XtkRO8LF,22,2.0,1,1.0,1.0,תל אביב,32.0803,34.7805,"היי
מקווה שיהיה בסדר איתך ועם ארי
אתה אלוף",3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,6.0,5.0,2.0,2.0,2.0,2.0,2.0,3.9,2.0
466495,R_30hDHMG1s2qiSKJ,43,11.0,2,3.0,2.0,ירושלים,31.9642,34.7876,"הצלחת להרגיע את הבת שלך ע""י שימוש בשיטות שאת מכירה, להפסיק את הפאניקה ואת הבכי, ולהחזיר אותה הביתה. כל הכבוד.",4.0,3.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,3.5,1.8
13585,R_2X1FwAqHQm4qeID,42,9.0,1,1.0,2.0,"פ""ת",32.1033,34.8879,"אז מה עדיף? לא להגיד לה שום דבר? להשאיר את השאלות ללא מענה, או שתלך לחפש מענה במקומות אחרים? לא, הרי עדיף לתת את המידע. כמה שיותר, ולשמור את האנרגיות והכפיות בשביל הרפלקציה. היא עדיין אוספת מידע. עוד יש הזדמנות להשפיע על התבנית... ולעזור לתקן את הנזקים.",2.0,6.0,2.0,1.0,5.0,3.0,5.0,6.0,7.0,5.0,2.0,3.0,4.0,3.0,3.0,4.2,3.0
56915,R_1r60dcdVzMNmooJ,39,9.0,2,4.0,1.0,חיפה,32.816,34.9821,אני ממש לא יודעת מה לכתוב,7.0,2.0,7.0,5.0,7.0,2.0,7.0,7.0,2.0,7.0,3.0,1.0,1.0,1.0,1.0,5.3,1.4
43351,R_yO4Pqdiw0k6guf7,54,17.0,2,5.0,2.0,גבעת שמואל,32.0729,34.8481,"עם ישראל חי, אני בטוחה שאחרי המלחמה נצא יותר מחוזקים, יש לנו צבא חזק שלא יוותר עד שיגיע לניצחון מוחץ מול החמאס,,אני גאה בעם שלנו ובעקבות ההדדית שיש בין כולם",7.0,5.0,7.0,2.0,6.0,5.0,7.0,7.0,6.0,6.0,1.0,1.0,3.0,1.0,1.0,5.8,1.4
89235,R_2TWTvhk0twSsbKv,43,5.0,2,2.0,2.0,פתח תקווה,32.0803,34.7805,"מורן מותק,
התנהגת בצורה הכי ראויה בשבת האכזרית 7.10
מי ידע שבימים אלו עדיין נהיה ונזכר בשבת ההיא וכל אזעקה תקפיץ אותנו",7.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,2.0,5.8,1.8
51236,R_DiNLQtLMTO8yKZj,35,6.0,2,2.0,1.0,קריות,31.5,34.75,"זה בסדר להיות בלחץ, זה בסגר לכעוס יותר, זה הכל מדאגה ועצבות מהמצב.
המון רצון לעזור ולתמוך במי שאפשר.
",5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,4.2,2.4
47072,R_3EnFoszF6TJYwNR,25,3.0,1,1.0,1.0,באר שבע ,32.0123,34.7705,אתה עושה דבר גדול ובעל משמעות רבה. זה נכון שאי אפשר שהכל יצליח ויהיה מושלם. אבל אתה עושה את הדבר הנכון. ,6.0,6.0,6.0,5.0,5.0,7.0,6.0,5.0,7.0,6.0,1.0,1.0,3.0,2.0,2.0,5.9,1.8
70581,R_25zsViWG9aXgjSY,26,14.0,1,1.0,2.0,ביתי הפרטי ,31.5,34.75,מקווה שהחששות ייעלמו ואשדר אופטימיות כלפיי הילדה שלי בעקבות המצב בארץ ,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,3.9,1.8
51322,R_1PaQ9K9rnl5bJq2,41,5.0,1,2.0,2.0,יקנעם עילית ,32.0803,34.7805,"אי ודאות לגבי העתיד, המסגרות החינוכיות העבודה. כיס ותבעול על המדינה שאמורה להגן עלינו. כעס ונקמה על חמאס והפלסטינים.
כעס על הדרג המדיני שלא פותר את בעיית הטרור.",4.0,3.0,6.0,2.0,5.0,4.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,4.2,1.2
11318,R_1FDHOfvGQK8UZQU,29,1.0,1,1.0,1.0,באר שבע,31.5,34.75,"זו הייתה תקופה קשה עבור כולנו, כל אדם שחי במדינה. כולנו הרגשנו ימים של חוסר ודאות, פחד ותסכול. על אף זאת, השתדלתי כמיטב יכולתי לספק ביטחון לאשתי ורגעים של צחוק עבור הבן שלי. עברנו את זה ביחד. ",5.0,5.0,5.0,2.0,6.0,2.0,5.0,4.0,3.0,4.0,1.0,2.0,3.0,2.0,2.0,4.1,2.0
06787,R_2ONoQDdvjZmgOco,46,7.0,2,1.0,2.0,מרכז הארץ,32.0803,34.7805,הרבה הורים לא מצליחים בתקופה הזו להימנע מצפייה בחדשות ליד הילדים או לדבר על המלחמה ליד הילדים,4.0,5.0,4.0,4.0,1.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,4.1,3.6
187300,R_vwZATOF4elww1vr,51,17.0,2,2.0,1.0,כפר סבא,32.0803,34.7805,"מה שקרה לא יקרה עוד. המודעות של יהודים ומערביים עלתה בעכבות מה שקרה. אלוהים יסדר הכל. 
",5.0,3.0,5.0,2.0,6.0,6.0,6.0,5.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,4.8,1.4
09957,R_2AQJL2nxaC5PSCH,34,0.0,1,1.0,1.0,תל אביב ,31.5,34.75,"היי, אתה
תזכור, תמיד יש לאן להתקדם
אוהב
אתה",5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,3.0,3.0,3.0,4.0,3.0,3.0,5.4,3.2
91998,R_28TCNpK2DPCq58i,26,6.0,2,1.0,1.0,רחובות,31.9642,34.7876,"היי
בכל יהיה בסדר
הילדים יגדלו להיות חזקים ובריאים והחיילים יחזרו הביתה לשלום.",7.0,2.0,7.0,4.0,5.0,2.0,7.0,7.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.3,2.0
30455,R_3sAdMxm9YDQ30De,35,2.0,1,1.0,1.0,רמת גן ,32.0803,34.7805,"העניין הזה הוא זמני ויחלוף הקרוב, יהיה בסדר ",5.0,7.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,4.2,1.0
45113,R_3fvLKiiAzsvHHS2,42,10.0,2,3.0,2.0,קרית אונו,32.0803,34.7805,"שום דבר ממה שקרה לא באשמתי, אם היתה לי היכולת לשנות משהו ולו במעט הייתי משנה במידי. 
הלוואי ואוכל להחזיר את השליטה לחיי ולשלום ילדי. ",6.0,5.0,5.0,3.0,6.0,5.0,6.0,5.0,5.0,5.0,2.0,3.0,3.0,1.0,2.0,5.1,2.2
64866,R_xgP6m9sqLZfvetH,25,1.0,1,2.0,1.0,לא,31.7674,35.2186,אחי תחייך יש לך ילדים זה לגיטימי במצב הזה קצת לאבד איזון רק תחזור לאיזון צריכים את זה!,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,3.2,2.2
41631,R_29j0896BfrqpAUS,38,2.0,2,2.0,2.0,תל אביב,32.0803,34.7805,"את יודעת שאת עושה את המיטב עבורך, עבור הילדות ועבור בן הזוג בתקופה הלא פשוטה הזו",7.0,3.0,6.0,5.0,4.0,3.0,4.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.1,1.2
26762,R_1EZms8hP7aXys8D,24,0.0,2,1.0,2.0,אריאל,32.0803,34.7805,"אני משתדלת לעשות את הכי טוב שלי, לגדל את הילדה כשאני לא בבית שלי, כשבעלי במילואים רחוק ולהיות האמא הכי טובה לבת שלי.. 
מה שקורה בארץ לא בשליטתי אבל איך שאני מגיבה ומתנהלת כן..",5.0,2.0,5.0,5.0,5.0,2.0,5.0,6.0,2.0,6.0,2.0,3.0,3.0,1.0,2.0,4.3,2.2
82852,R_1QAbMBumhTq0upc,52,7.0,1,3.0,2.0,תל אביב,32.0803,34.7805,אני חושב שזאת תרומתי הטובה ביותר - לא לחשוף את בנותיי ללחץ של האזעקות,4.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,1.0,1.0,2.0,2.0,1.0,4.7,1.4
31112,R_1Oxe3P9gu0FTvED,49,5.0,1,3.0,1.0,אזור,32.7632,34.9779,הכל טוב.          ,7.0,1.0,7.0,1.0,7.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,3.4,1.2
47658,R_1NnAPPTqQR1SYrD,41,8.0,2,2.0,2.0,בית ,,,"שזה בסדר לפחד.
זה טבעי 
יהיה בסדר ",6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,2.0,1.0,2.0,2.0,2.0,5.5,1.8
73747,R_2dYBw3lwBhZg2hl,34,2.0,2,1.0,2.0,טירת כרמל,,,"אני לא אשמה במה שקרה, ואם כבר אני זכיתי להיות עם הבת שלי - אני אתן לה כל מה שאני יכולה כדי שתהיה מאושרת ושמחה. כרגע אני בתקופה שאני צריכה שיגנו עליי, אני העורף, והתפקיד שלי הוא להגן ולשמור על הבת שלי. כל מה שאני יכולה לעשות זה להתפלל ולקוות שהחטופים יחזרו בריאים ושלמים, ושיהיה אפשר לתקן להם את הנפש
",5.0,1.0,2.0,2.0,4.0,1.0,5.0,4.0,2.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,2.2
04480,R_3QRapkk0v7zeWXY,36,6.0,2,3.0,1.0,רמת גן,,,הוא עדיין לא מבין את המשמעות של הדברים. הוא עוד צעיר ומקווה שיגדל לעולם טוב יותר. ,6.0,1.0,5.0,1.0,6.0,1.0,5.0,6.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,3.8,1.6
56628,R_1rO2f26Z1F5WPYT,50,15.0,2,2.0,1.0,חיפה,,,"זה לא אשמתי שהבן שלי מפחד. אני מספקת לו את כל ההגנה האפשרית. כרגע המצב עדיין רגיש אבל עם הזמן, הפחד שהוא מרגיש ילך ויקטן.",6.0,5.0,5.0,3.0,2.0,2.0,5.0,4.0,2.0,5.0,3.0,2.0,3.0,3.0,2.0,3.9,2.6
01410,R_2YKwZZS1yDnsf75,31,1.0,2,1.0,2.0,תל אביב,,,את אלופה יכולה לעשות הכל!,4.0,4.0,4.0,4.0,6.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,3.9,1.0
11341,R_1GPHaDZxb5kVA3M,37,13.0,2,2.0,2.0,יקנעם עילית,,,"תזכרי שלא הכל בשליטתך.
את עוד כמיטב יכולתך כדי שלבנות שלך יהיה טוב.
את לא אשמה שקשה לה.
",5.0,3.0,5.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,3.5,2.4
77713,R_1FL3zTXhrhKQwsQ,35,6.0,2,2.0,1.0,הרצליה,,,"לימור,
זה בסדר שיש לך רגשות אשם, 
זה בסדר שאין לך את כל הפתרונות לתת לילדים,
מותר לך להישבר לפעמים ולקחת הפסקה מלהיות חזקה,
מותר לך להיות חסרת סבלנות.
ואין צורך לחוש רגשות אשם כל כך  שיש אנשים במצב יותר גרוע.",6.0,3.0,6.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.2,2.2
40520,R_0AFFMmiZWsdD0id,36,8.0,2,4.0,2.0,יקנעם,,,המציאות מורכבת ואי אפשר להצליח כל הזמן לשים לב לכל. לזכור שלא בגלל שבוע שפספסתי מצב רוח והלך נפשי של הילדה זה מה שיקבע את גורלה. לזכור שאני אמא טובה דיה. ושכל עוד הנר דולק אפשר לתקן. ,4.0,3.0,5.0,2.0,4.0,1.0,4.0,4.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,3.3,1.8
41201,R_3QViOWbVyImyKH3,39,5.0,2,2.0,1.0,תל אביב,,,"את עושה מה שאפשר להגן על הילדים, אתם בסביבה בטוחה. את אמנם מרגישה שהקרקע בוערת, שזה יכול להשתנות, שאחרי הזוועות של ה 7.10 הכל יכול לקרות ואף אחד לא מוגן. אבל את חייבת להיות חזקה בשבילם, לעשות כל מה שאפשר להגן עליהם ולקוות לטוב. ",1.0,5.0,1.0,3.0,4.0,5.0,1.0,1.0,5.0,1.0,2.0,4.0,4.0,2.0,4.0,2.7,3.2
93936,R_1ff8QpBLyNYkLnz,35,1.0,2,3.0,1.0,תל אביב,,,"את עושה את הכי טוב שאת יכולה. 
וזה לא רע בכלל. ",5.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0
50255,R_1rjHesOMrLvVfCq,40,7.0,2,2.0,2.0,תל אביב,,,"זו תגובה טבעית, הויסות יורד בתקופות כאלה. כבר החלטתי לנסות להגיב אחרת, אפילו בהיעדר תגובה.",4.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.3,1.6
38628,R_1EYb0eFRiP9WnN9,30,3.0,2,2.0,2.0,קרית גת,,,"אמא יקרה
את אלופה במה שאת עושה וכמה שאת מנסה לשמור ולהגן על היקרים לך מכל
תמיד תזכרי שאת עושה את המקסימום וההכי טוב שלך. מה שמעבר כבר לא תלוי בך",6.0,6.0,5.0,2.0,3.0,5.0,6.0,5.0,3.0,5.0,2.0,4.0,3.0,2.0,4.0,4.6,3.0
